"","Type","Diff.Un","Diff.Adj","M.Threshold"
"distance","Distance",0.06083084607831,0.0292012113687122,"Balanced, <0.1"
"channel_subscribers","Contin.",0.0042194102227875,0.00864005972302388,"Balanced, <0.1"
"duration","Contin.",0.0110406348858857,0.0161595287811105,"Balanced, <0.1"
"title_len","Contin.",0.0333012857104195,0.0173934753575197,"Balanced, <0.1"
"tags_count","Contin.",0.00682645951733859,0.00468100408160308,"Balanced, <0.1"
"colorfulness_pylette","Contin.",-0.0305782435480606,-0.0157313532995336,"Balanced, <0.1"
"brightness_pil","Contin.",-0.0141988711316433,0.000207036652726511,"Balanced, <0.1"
"published_at","Contin.",-0.0150811952931889,-0.00586563926378007,"Balanced, <0.1"
"title_sentiment_score","Contin.",0.0258063150378758,0.00535305561465511,"Balanced, <0.1"
"text_sentiment_score","Contin.",0.00482640404031605,0.00181246874831845,"Balanced, <0.1"
"edge_count","Contin.",0.000831465745952127,-0.00215153493321441,"Balanced, <0.1"
"entropy_mean","Contin.",0.0264868464163855,0.00946774114579264,"Balanced, <0.1"
"object_count_yolo","Contin.",0.010130624502045,0.00300493063525036,"Balanced, <0.1"
"0","Sample size (Control)",6608,6608,""
"1","Sample size (Treated)",7048,6608,""
