"","Type","Diff.Un","Diff.Adj","M.Threshold"
"distance","Distance",0.06083084607831,0.217152341181494,""
"channel_subscribers","Contin.",0.0042194102227875,0.0193464123066387,"Balanced, <0.1"
"duration","Contin.",0.0110406348858857,0.0240384858635535,"Balanced, <0.1"
"title_len","Contin.",0.0333012857104195,0.0889658096965219,"Balanced, <0.1"
"tags_count","Contin.",0.00682645951733859,0.0254646622039212,"Balanced, <0.1"
"colorfulness_pylette","Contin.",-0.0305782435480606,-0.158625267909058,"Not Balanced, >0.1"
"brightness_pil","Contin.",-0.0141988711316433,-0.059260272415124,"Balanced, <0.1"
"published_at","Contin.",-0.0150811952931889,-0.0446191870278364,"Balanced, <0.1"
"title_sentiment_score","Contin.",0.0258063150378758,0.076356205081026,"Balanced, <0.1"
"text_sentiment_score","Contin.",0.00482640404031605,0.0171864879578742,"Balanced, <0.1"
"edge_count","Contin.",0.000831465745952127,0.0321465204714987,"Balanced, <0.1"
"entropy_mean","Contin.",0.0264868464163855,0.126286931739848,"Not Balanced, >0.1"
"object_count_yolo","Contin.",0.010130624502045,0.0534102187104153,"Balanced, <0.1"
