"","Type","Diff.Un","Diff.Adj","M.Threshold"
"distance","Distance",2.19284413088791,2.75728755326224,""
"channel_subscribers","Contin.",-0.393578341601946,0.016152732917409,"Balanced, <0.1"
"duration","Contin.",0.0408408170921133,-0.0757012232683475,"Balanced, <0.1"
"title_len","Contin.",0.516705064743328,0.603372161511561,"Not Balanced, >0.1"
"tags_count","Contin.",0.202183836825079,0.41835466223963,"Not Balanced, >0.1"
"colorfulness_pylette","Contin.",0.127182887159023,0.123189372738491,"Not Balanced, >0.1"
"brightness_pil","Contin.",0.315338854227044,0.471902912658984,"Not Balanced, >0.1"
"published_at","Contin.",0.30003287644377,0.271237489222533,"Not Balanced, >0.1"
"title_sentiment_score","Contin.",0.218892317821335,0.458918159578097,"Not Balanced, >0.1"
"text_sentiment_score","Contin.",1.25798003699881,2.32300568913695,"Not Balanced, >0.1"
"edge_count","Contin.",0.484874442122801,0.467343023879385,"Not Balanced, >0.1"
"entropy_mean","Contin.",-0.104678773789687,-0.247426798429007,"Not Balanced, >0.1"
"object_count_yolo","Contin.",-0.068239863626066,-0.255616059926605,"Not Balanced, >0.1"
