"","Type","Diff.Un","Diff.Adj","M.Threshold"
"distance","Distance",2.19284413088791,0.134915158310049,""
"channel_subscribers","Contin.",-0.393578341601946,0.0446401344357283,"Balanced, <0.1"
"duration","Contin.",0.0408408170921133,-0.0257506153151165,"Balanced, <0.1"
"title_len","Contin.",0.516705064743328,-0.00357161294765315,"Balanced, <0.1"
"tags_count","Contin.",0.202183836825079,-0.00510188612487348,"Balanced, <0.1"
"colorfulness_pylette","Contin.",0.127182887159023,-0.0475169820857028,"Balanced, <0.1"
"brightness_pil","Contin.",0.315338854227044,0.0607743558846087,"Balanced, <0.1"
"published_at","Contin.",0.30003287644377,-0.0240920469494312,"Balanced, <0.1"
"title_sentiment_score","Contin.",0.218892317821335,-0.000408318591662523,"Balanced, <0.1"
"text_sentiment_score","Contin.",1.25798003699881,0,"Balanced, <0.1"
"edge_count","Contin.",0.484874442122801,0.0484586519877836,"Balanced, <0.1"
"entropy_mean","Contin.",-0.104678773789687,-0.0396002596420848,"Balanced, <0.1"
"object_count_yolo","Contin.",-0.068239863626066,-0.0359187642188818,"Balanced, <0.1"
